solomon_100\C101.txt,30,16903,1363.4862500000002,78.015,78.78,
solomon_100\C101.txt,17,7212,578.3229166666667,18.825,19.153,
solomon_100\C101.txt,20,9211,753.4862499999999,14.61,14.894,
solomon_100\C101.txt,26,10481,921.2062500000002,40.281,40.645,
solomon_100\C101.txt,23,11979,1053.76625,24.547,25.031,
solomon_100\C101.txt,25,15066,1195.0662500000003,28.218,28.859,
solomon_100\R101.txt,38,20727,1373.7051282051282,102.563,103.375,
solomon_100\R101.txt,17,7112,793.62,11.39,11.453,
solomon_100\R101.txt,16,9415,892.5898148148145,5.382,5.47,
solomon_100\R101.txt,25,12439,1067.3074999999997,14.905,15.058,
solomon_100\R101.txt,28,14160,1178.4754609929078,23.779,24.048,
solomon_100\R101.txt,30,16139,1290.7833613445382,32.892,33.327,
solomon_100\R500.txt,54,44509,3411.5559878245795,946.24,947.134,
solomon_100\R500.txt,66,57272,5859.264852150541,948.456,948.872,
solomon_100\R500.txt,77,68984,8037.462757234207,999.497,1000.098,
solomon_100\R500.txt,85,80511,10598.922150667975,972.517,972.879,
solomon_100\RC101.txt,29,17561,1669.5334693877546,41.605,42.721,
solomon_100\RC101.txt,17,5241,922.4999999999999,5.437,5.625,
solomon_100\RC101.txt,17,7786,1122.4900000000002,6.078,6.468,
solomon_100\RC101.txt,21,11082,1248.9349999999995,12.708,13.265,
solomon_100\RC101.txt,25,12920,1440.6,23.136,23.875,
solomon_100\RC101.txt,34,17826,1566.8399999999997,46.282,47.219,
solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\C101.txt,
solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\C101.txt,solomon_100\C101.txt,
